ID;TITULO;TIPO;AREAS;MODALIDADE;DATA;HORARIOS;CONFLITOS;IDS_CONFLITOS
27;IMPORTÂNCIA DO PERFIL IMUNOHISTOQUÍMICO PARA O DIAGNÓSTICO DO CÂNCER DE MAMA;ATIVIDADE;[LINGUISTICA_LETRAS_ARTES, CIENCIAS_HUMANAS];PRESENCIAL;2022-12-01;[8, 9, 10, 11];4;[7, 8, 73, 65]
65;Zotero: aprendendo a gerenciar referências;ATIVIDADE;[TODAS];ONLINE;2022-12-01;[8, 9, 10, 11, 12, 14, 15, 16];20;[7, 8, 73, 9, 10, 74, 11, 43, 45, 77, 46, 47, 81, 85, 54, 55, 58, 27, 1, 68]
8;Avaliação e Aprendizagens em caminhos de (re)encontros formativos;MESA_REDONDA;[CIENCIAS_HUMANAS];ONLINE;2022-12-01;[9, 10];4;[7, 73, 27, 65]
55;Microbiologia preditiva como ferramenta para avaliação do comportamento microbiano nos alimentos;ATIVIDADE;[CIENCIAS_AGRARIAS, ENGENHARIAS];ONLINE;2022-12-01;[9, 10, 11];5;[7, 73, 58, 46, 65]
73;Palestra: Criatividade para liderar na era da tecnologia;ATIVIDADE;[CIENCIAS_EXATAS_E_DA_TERRA, ENGENHARIAS, CIENCIAS_HUMANAS];PRESENCIAL;2022-12-01;[9];6;[55, 7, 8, 58, 27, 65]
7;Plano Diretor e Desenvolvimento Sustentável;MESA_REDONDA;[CIENCIAS_SOCIAIS_APLICADA, CIENCIAS_HUMANAS, ENGENHARIAS];PRESENCIAL;2022-12-01;[9, 10];7;[55, 8, 73, 58, 27, 46, 65]
58;Uso de probióticos em alimentos veganos: tendências, perspectivas e inovações tecnológicas.;ATIVIDADE;[CIENCIAS_AGRARIAS, ENGENHARIAS];ONLINE;2022-12-01;[9];4;[55, 7, 73, 65]
46;Mercado de Trabalho em TI: Pernambuco,Brasil Mundo;ATIVIDADE;[CIENCIAS_EXATAS_E_DA_TERRA, ENGENHARIAS];ONLINE;2022-12-01;[10, 11];3;[55, 7, 65]
45;Vitivinicultura no Agreste: interação instituições públicas e vinícolas;ATIVIDADE;[CIENCIAS_BIOLOGICAS, CIENCIAS_DA_SAUDE];PRESENCIAL;2022-12-01;[10, 11];1;[65]
47;Como ferramentas low-code podem ajudar a contornar o apagão da mão de obra de TI;ATIVIDADE;[CIENCIAS_EXATAS_E_DA_TERRA, ENGENHARIAS];PRESENCIAL;2022-12-01;[14, 15, 16];8;[85, 54, 74, 11, 77, 65, 81, 68]
77;Escape Room: Um Palácio Mental;ATIVIDADE;[CIENCIAS_EXATAS_E_DA_TERRA, ENGENHARIAS, CIENCIAS_HUMANAS];PRESENCIAL;2022-12-01;[14, 15, 16, 17];11;[85, 54, 9, 10, 74, 11, 47, 65, 1, 81, 68]
54;Nanofibras pelo método de fiação por sopro (Airbrush): teoria e prática;ATIVIDADE;[CIENCIAS_AGRARIAS, ENGENHARIAS];PRESENCIAL;2022-12-01;[14, 15, 16, 15, 18];10;[85, 11, 59, 12, 77, 47, 63, 65, 81, 68]
10;PENA, JUSTIÇA E NEOLIBERALISMO;MESA_REDONDA;[CIENCIAS_SOCIAIS_APLICADA, CIENCIAS_HUMANAS];ONLINE;2022-12-01;[14, 15, 16];8;[85, 9, 11, 77, 65, 1, 81, 68]
1;Produção de texto em contexto escolar: implicações didáticas acerca do processo de escritura por crianças recém-alfabetizadas;MESA_REDONDA;[LINGUISTICA_LETRAS_ARTES, CIENCIAS_HUMANAS];ONLINE;2022-12-01;[14, 15, 16];8;[85, 9, 10, 11, 77, 65, 81, 68]
9;Produção de texto em contexto escolar: implicações didáticas acerca do processo de escritura por crianças recém-alfabetizadas;MESA_REDONDA;[LINGUISTICA_LETRAS_ARTES, CIENCIAS_HUMANAS];ONLINE;2022-12-01;[14, 15, 16];8;[85, 10, 11, 77, 65, 1, 81, 68]
11;APRESENTACAO TRABALHOS;APRESENTACAO_TRABALHOS;[TODAS];PRESENCIAL;2022-12-01;[14, 15, 16, 17];12;[85, 54, 9, 10, 74, 43, 77, 47, 65, 1, 81, 68]
81;Mediação e conciliação como alternativa na resolução de conflitos;MESA_REDONDA;[TODAS];PRESENCIAL;2022-12-01;[14, 15];11;[85, 54, 9, 10, 74, 11, 77, 47, 65, 1, 68]
85;Gamificação na educação e seus desafios;ATIVIDADE;[CIENCIAS_EXATAS_E_DA_TERRA, ENGENHARIAS, CIENCIAS_HUMANAS];PRESENCIAL;2022-12-01;[15, 16];11;[54, 9, 10, 74, 11, 77, 47, 65, 1, 81, 68]
74;Mixobaralho: um recurso para fixação de aprendizagem no ensino dos mixomicetos.;ATIVIDADE;[CIENCIAS_EXATAS_E_DA_TERRA];ONLINE;2022-12-01;[15];7;[85, 11, 77, 47, 65, 81, 68]
68;Aromaterapia e Saúde Emocional: Os Benefícios dos Óleos Essenciais no dia a dia;ATIVIDADE;[TODAS];PRESENCIAL;2022-12-01;[15, 16, 17];12;[85, 54, 9, 10, 74, 11, 43, 77, 47, 65, 1, 81]
