ID;TITULO;EVENTO;AREAS;TIPO;DATA;HORARIOS
38;Prescrição Médica: orientações adequadas para o uso de medicamentos?;ATIVIDADE;CIENCIAS_DA_SAUDE;PRESENCIAL;30/11/2022;18*19*20*21
39;Cianobactérias terrestres e a formação de biocrostas;ATIVIDADE;CIENCIAS_DA_SAUDE;PRESENCIAL;30/11/2022;15*16
40;Uso de Veículos Aéreos Não Tripulados (VANTs) no monitoramento de florações de cianobactérias;ATIVIDADE;CIENCIAS_BIOLOGICAS*CIENCIAS_DA_SAUDE;PRESENCIAL;30/11/2022;16*17
41;“Na bancada: aprendendo as bases e princípios da prática laboratorial”;ATIVIDADE;CIENCIAS_BIOLOGICAS*CIENCIAS_DA_SAUDE;PRESENCIAL;30/11/2022;8*9*10*11*12*14*15*16
42;Espectroscopia na prática laboratorial;ATIVIDADE;CIENCIAS_BIOLOGICAS*CIENCIAS_DA_SAUDE;PRESENCIAL;30/11/2022;18*19*20*21
43;Potencial antiinflamatório e anticâncer de plantas do Bioma Caatinga;ATIVIDADE;CIENCIAS_BIOLOGICAS*CIENCIAS_DA_SAUDE;PRESENCIAL;1/12/2022;16*17
44;Sequestro de carbono na Caatinga;ATIVIDADE;CIENCIAS_BIOLOGICAS*CIENCIAS_DA_SAUDE;PRESENCIAL;29/11/2022;9
45;Vitivinicultura no Agreste: interação instituições públicas e vinícolas;ATIVIDADE;CIENCIAS_BIOLOGICAS*CIENCIAS_DA_SAUDE;PRESENCIAL;1/12/2022;10*11
46;Mercado de Trabalho em TI: Pernambuco,Brasil Mundo;ATIVIDADE;CIENCIAS_EXATAS_E_DA_TERRA*ENGENHARIAS;ONLINE;1/12/2022;10*11
47;Como ferramentas low-code podem ajudar a contornar o apagão da mão de obra de TI;ATIVIDADE;CIENCIAS_EXATAS_E_DA_TERRA*ENGENHARIAS;PRESENCIAL;1/12/2022;14*15*16
48;Solução de EDO Pelo Método das Diferenças Finitas Utilizando MATHCAD;ATIVIDADE;CIENCIAS_EXATAS_E_DA_TERRA*ENGENHARIAS;PRESENCIAL;30/11/2022;19*20*21
49;Visão geral sobre alguns trabalhos em Modelagem Matemática e Computacional.;ATIVIDADE;CIENCIAS_EXATAS_E_DA_TERRA*ENGENHARIAS;ONLINE;29/11/2022;14*15
50;Minicurso de introdução ao Arduino;ATIVIDADE;CIENCIAS_EXATAS_E_DA_TERRA*ENGENHARIAS;ONLINE;30/11/2022;14*15*16*17
51;Desafios e Aprendizados em Gerenciar uma Empresa Júnior;ATIVIDADE;CIENCIAS_EXATAS_E_DA_TERRA*ENGENHARIAS;PRESENCIAL;1/12/2022;19
52;Vivências de um Engenheiro de Comissionamento de Subestações de Energia;ATIVIDADE;CIENCIAS_AGRARIAS*ENGENHARIAS;ONLINE;29/11/2022;19
53;Nanotecnologia em embalagens de alimentos, uma resposta ao Impacto Ambiental?;ATIVIDADE;CIENCIAS_AGRARIAS*ENGENHARIAS;PRESENCIAL;30/11/2022;14*15
54;Nanofibras pelo método de fiação por sopro (Airbrush): teoria e prática;ATIVIDADE;CIENCIAS_AGRARIAS*ENGENHARIAS;PRESENCIAL;1/12/2022;14*15*16*15*18
55;Microbiologia preditiva como ferramenta para avaliação do comportamento microbiano nos alimentos;ATIVIDADE;CIENCIAS_AGRARIAS*ENGENHARIAS;ONLINE;1/12/2022;9*10*11
56;Produtos Plant based e a Indústria de Alimentos Cárneos;ATIVIDADE;CIENCIAS_AGRARIAS*ENGENHARIAS;ONLINE;30/11/2022;15
57;Sistemas superhidrofóbicos aplicados em embalagens de alimentos: impacto na redução no desperdício de alimentos;ATIVIDADE;CIENCIAS_AGRARIAS*ENGENHARIAS;ONLINE;30/11/2022;14
58;Uso de probióticos em alimentos veganos: tendências, perspectivas e inovações tecnológicas.;ATIVIDADE;CIENCIAS_AGRARIAS*ENGENHARIAS;ONLINE;1/12/2022;9
59;Pesquisa e Inovação: A utilização do conhecimento cientifico para a inovação na Industria dos Produtos a base de cereais.;ATIVIDADE;CIENCIAS_AGRARIAS*ENGENHARIAS;ONLINE;1/12/2022;18
60;O Engenheiro de Alimentos e as certificações em alimentos plant-based;ATIVIDADE;CIENCIAS_AGRARIAS*ENGENHARIAS;ONLINE;30/11/2022;18
61;Aplicação de óleo estruturado (HIPE, óleogel) como substituto de gordura em alimentos;ATIVIDADE;CIENCIAS_AGRARIAS*ENGENHARIAS;ONLINE;2/12/2022;14
62;Processos alternativos de secagem de alimentos: Aplicação em quueijo minas frescal;ATIVIDADE;CIENCIAS_AGRARIAS*ENGENHARIAS;PRESENCIAL;30/11/2022;9*10
63;Incorporação de ingredientes funcionais e prebióticos em iogurtes;ATIVIDADE;CIENCIAS_AGRARIAS*ENGENHARIAS;ONLINE;1/12/2022;18
64;Confecção de TURBANTES: contando histórias;ATIVIDADE;TODAS;PRESENCIAL;30/11/2022;18*19*20
65;Zotero: aprendendo a gerenciar referências;ATIVIDADE;TODAS;ONLINE;1/12/2022;8*9*10*11*12*14*15*16
66;Capoeira Angola: da escravidão a educação.;ATIVIDADE;TODAS;PRESENCIAL;1/12/2022;19*20
67;Oficina Capoeira Angola;ATIVIDADE;TODAS;PRESENCIAL;2/12/2022;9*10*11
68;Aromaterapia e Saúde Emocional: Os Benefícios dos Óleos Essenciais no dia a dia;ATIVIDADE;TODAS;PRESENCIAL;1/12/2022;15*16*17
69;Show da Química: A ludicidade científica;ATIVIDADE;TODAS;PRESENCIAL;1/12/2022;19*20
70;CINEMA PARA VER, GOSTAR, APRENDER, ENSINAR E SER FELIZ;ATIVIDADE;TODAS;ONLINE;30/11/2022;14*15
71;A importância da contação de história na infância: fatos e artefatos da contação de história.;ATIVIDADE;LINGUISTICA_LETRAS_ARTES*CIENCIAS_HUMANAS;PRESENCIAL;30/11/2022;8*9*10*11*12*14*15*16
72;Possibilidades de atuação do Engenheiro de Alimentos dentro do mercado de trabalho;ATIVIDADE;CIENCIAS_EXATAS_E_DA_TERRA;ONLINE;30/11/2022;18*19
73;Palestra: Criatividade para liderar na era da tecnologia;ATIVIDADE;CIENCIAS_EXATAS_E_DA_TERRA*ENGENHARIAS*CIENCIAS_HUMANAS;PRESENCIAL;1/12/2022;9
74;Mixobaralho: um recurso para fixação de aprendizagem no ensino dos mixomicetos.;ATIVIDADE;CIENCIAS_EXATAS_E_DA_TERRA;ONLINE;1/12/2022;15
75;Estratégias de estudo à luz da ciência;ATIVIDADE;TODAS;PRESENCIAL;29/11/2022;14*15
76;RPG Escola Zumbi: sobreviver ao ensino médio nunca foi tão perigoso.;ATIVIDADE;CIENCIAS_HUMANAS*CIENCIAS_SOCIAIS_APLICADA;PRESENCIAL;1/12/2022;18*19*20
77;Escape Room: Um Palácio Mental;ATIVIDADE;CIENCIAS_EXATAS_E_DA_TERRA*ENGENHARIAS*CIENCIAS_HUMANAS;PRESENCIAL;1/12/2022;14*15*16*17
78;Game e Metaverso;ATIVIDADE;CIENCIAS_EXATAS_E_DA_TERRA*ENGENHARIAS*CIENCIAS_HUMANAS;ONLINE;29/11/2022;14
79;Micro-história, biografias e trajetórias de vida: personagens e sujeitos anônimos da História;ATIVIDADE;CIENCIAS_HUMANAS*CIENCIAS_SOCIAIS_APLICADA;PRESENCIAL;30/11/2022;8*9*10*11*12*14*15*16
80;A interdisciplinaridade na atuação da psicologia social e sua interface com as políticas públicas;ATIVIDADE;TODAS;ONLINE;1/12/2022;19*20
81;Mediação e conciliação como alternativa na resolução de conflitos;MESA_REDONDA;TODAS;PRESENCIAL;1/12/2022;14*15
82;Sistema Prisional e Direitos Humanos: decisões da Corte Interamericana sobre as unidades de Pernambuco;MESA_REDONDA;CIENCIAS_HUMANAS*CIENCIAS_SOCIAIS_APLICADA;ONLINE;29/11/2022;14*15
83;Qual visão estratégica do Ensino de Computação para atender as oportunidades sociais e históricas do pós-desenvolvimento;ATIVIDADE;CIENCIAS_EXATAS_E_DA_TERRA*ENGENHARIAS*CIENCIAS_HUMANAS;PRESENCIAL;29/11/2022;14*15
84;Ambiente virtual de Aprendizagem com licença livre: implantação e utilização do ambiente Openredu;ATIVIDADE;CIENCIAS_EXATAS_E_DA_TERRA*ENGENHARIAS*CIENCIAS_HUMANAS;ONLINE;29/11/2022;16*17
85;Gamificação na educação e seus desafios;ATIVIDADE;CIENCIAS_EXATAS_E_DA_TERRA*ENGENHARIAS*CIENCIAS_HUMANAS;PRESENCIAL;1/12/2022;15*16
